adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,caudate,cerebellum,cerebral cortex,cervix,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,substantia nigra,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
CDAN1,TBKBP1,SLC17A4,ZNF439,AKAP12,LSM3,IDH1,PRPH,VGF,PARP8,FAU,,MAOA,,DDX60,TAOK3,PLN,SPATA3,,STEAP1,MYH4,,RNASE3,MRPL47,,SPATA16,,CYP27A1,CFAP300,SAA4,NPTX1,TM4SF20,MRPL15,ACTC1,RAB3B,,TMEM184A,DPY19L1,RHCE,,LRRC3B,TBL3,ABCE1,,ZFC3H1,HTR4,GJB4,EPB41,SCEL,PRADC1,CLPS,RBM14-RBM4,IGKV1D-8,,ALPK3,,COX8C,MAGEA4,CARD11,PHKG1
TLE3,DMD,H2BC1,ZNF440,ULBP3,RNF139,CIR1,AVIL,PODXL,GFRA1,TM7SF2,,TRIM64B,,NXPE4,USP30,WDHD1,MUC13,,SYTL3,RBP3,,RSPH10B2,SCN2A,,FAM86B2,,CAB39,TRIM29,PGAP2,GAA,CPLX1,PI15,CHAF1B,CD2BP2,,NOS3,CBX2,PARVB,,AKAP5,ACP7,EDIL3,,TEX15,ESM1,MYBPC1,ALG8,ITM2B,SEMA4F,RNF144B,EPPIN-WFDC6,DEFA3,,CIB2,,PLEKHN1,ZNF185,HYLS1,DEFA5
PSTPIP1,TGM2,TRIM41,GAA,EPS8L1,PLA2G1B,ITPRID2,GDF11,FOXP2,DST,TMEM219,,FHIT,,SORL1,SDS,SLC34A3,HEG1,,HEY1,UPK3BL1,,RNASE6,TBR1,,LPP,,EDAR,SLC37A4,SCGB1A1,ZDHHC16,SIGLEC7,SULF1,GOLGA6A,LMAN2,,SPAG11B,KRT28,KRTAP24-1,,CITED4,CHEK2,LMBRD2,,DUSP26,ARSK,PAX5,FBXW5,EDNRB,CCT7,FAM8A1,TMEM150C,IGKV1-6,,CALCOCO2,,ISG15,CETN2,MYL4,DEFA4
ETFA,CR1,TNFRSF21,PGAM1,BPIFA2,TSEN34,CHRNA1,GLS2,STRIP2,TMEM132D,MKX,,RRP7A,,TRPC6,MSI1,RD3,AGFG1,,FABP5,APOC4,,COL22A1,ERMN,,RUBCN,,TGFBRAP1,POU2F3,ZNF215,EXOSC1,COL4A3,SDCBP,SCUBE1,THBS3,,MICALL2,TCAP,OPTC,,CFAP276,FOXL2,RANBP3L,,MEN1,ENPP6,SERPINA3,IFNGR2,LCP1,EGR4,FGFBP1,SPATS1,IGKV1-37,,NMT1,,PERM1,CCDC25,UVRAG,DEFA6
SCAPER,FCGR3A,DOK3,KRT19,BPIFA3,TRH,ABI2,ITGA7,IFT22,AP1S3,MPP7,,S100A14,,MMP7,HNF1A,SPANXC,CD7,,TAGAP,S1PR2,,SPRR1A,GALNT5,,DCAF1,,C2orf49,RDX,GLYAT,KRT15,MAP2K1,NXPE4,ARHGAP27,EFNA1,,CA3,NRROS,ADRB3,,ITLN1,KCTD16,ADGRV1,,ERG28,CMYA5,S100A4,DONSON,SCRN1,RAB11FIP5,MGARP,HS3ST5,IGKV3-20,,MYCBPAP,,HAPLN4,HMBOX1,NTRK1,OXR1
TSPAN3,LORICRIN,PPP1R18,KRT15,GGT7,MSANTD4,ITGAV,TESPA1,MKLN1,RABGAP1L,FXYD4,,KAZN,,MMP27,FBXO21,AKR1C4,CNP,,FNDC1,CGB1,,HTRA4,SCN7A,,EAF2,,ARHGEF4,PPP2R1B,SERPING1,KRT13,KLK7,BUD13,PTMS,NPIPB3,,FMC1,CEP19,CATSPER4,,GPBAR1,B3GALT5,SLC25A46,,MED6,EGFLAM,KIF19,SV2A,SPDYE1,SMYD5,TTC29,TMEM158,LILRA4,,SRSF1,,ERC2,CHRNB3,NRARP,TMEM184A
SKIC8,LELP1,MLIP,CLCN5,DEFB118,PKHD1,SLC40A1,FAM186B,DNAJB9,CFC1B,ARID5B,,OTUD6A,,CFAP300,OASL,COPS8,HAP1,,CHMP4C,SSX4,,PLEKHA2,BLK,,ILDR1,,ALDH1L2,FDX1,SLC43A1,XAGE3,VCX3A,TRPC6,PADI4,SH3TC2,,GBX1,CBY2,SNTN,,CCR8,KCTD8,PRRC1,,ADAM20,TMEM174,STK40,LAD1,IGF2BP3,DYSF,MYO7A,IGKV1D-37,IGKV1D-33,,VEZF1,,EZHIP,GNRH1,B3GNT6,NOS3
NEIL1,KPRP,LGSN,TPPP,ACSS2,DNAJC24,GUCA1C,AGAP2,FLNC,FAM168B,CDH8,,HMGB1,,YAP1,RNFT2,RYR2,KCNH6,,SLC13A4,SLC6A14,,CLIC4,GATA4,,MUC4,,STAB2,C11orf1,CSTPP1,KRT9,ZBBX,MMP7,BTG2,CXCL11,,PHAX,CD34,ENTPD8,,BBS10,EMILIN3,SPINK1,,LOXL2,CARTPT,CTSE,STC1,RAC1,CCDC142,ARRB1,YJEFN3,TEX35,,CHAD,,C2orf88,BIN3,HLA-DRB5,SPAG11B
DNAJA4,FAM24A,FGD2,KRT13,ARHGEF9,MBD3L1,COX17,KRT85,CALU,MGAT5,DCUN1D2,,ZFP92,,TRIM29,P2RX4,FAM3D,MARCHF10,,PGAM2,SMIM17,,SLC38A11,SKIL,,SLIT2,,CKAP4,FXYD6,KLHL35,MRPL36,ACTBL2,MMP27,C1R,GPRIN1,,OSR2,CYB561D1,TMC3,,SEPTIN1,FAM162B,HTR4,,ELP3,FAM170A,SEMA4A,TNNI1,KDELR2,EMX1,SLCO2B1,ENSG00000250264,AMY2B,,TACO1,,DNAJB13,DOK2,PLN,CA3
TPM1,PLPP4,ANO7,XAGE3,GFAP,PGK2,USP8,CDK4,CCDC136,POU4F1,LATS2,,GJB4,,POU2F3,BICDL1,LPA,DPY19L1,,BRI3,FAM156A,,MUC15,EPRS1,,EIF2B5,,VILL,FXYD2,TENM4,KRT20,AR,CFAP300,CELF3,PGM2,,BAALC,GSTA3,LRRK2,,TDRD6,RBM12B,ESM1,,PEBP4,TERT,RYR1,CSRP1,IL6,KCNMB4,ANKRD42,KIAA1210,LY6G5B,,DCAF7,,GABRD,DOCK5,SLC34A3,GBX1
CYP11A1,HSD3B1,TTBK1,KRT9,PYY,CAVIN3,SPPL2A,PPP1R1A,IRF5,OBI1,FAM124A,,MYBPC1,,RDX,DTX1,MAGEA1,KRT28,,CTSB,SSX2B,,GJB1,IL10,,AHSG,,NEK3,MMP13,SERPINH1,KRT27,DHRSX,TRIM29,ALDH4A1,P2RY12,,CTHRC1,TRMT10C,HACD4,,TH,LIN9,ARSK,,CTIF,SLC6A18,SRGAP3,PRAC1,ZDHHC4,CPM,IL18BP,ENSG00000250424,DEFA1B,,GH2,,AMY1C,STAR,RD3,BAALC
BBS4,HSD3B2,PNRC1,NAT1,ATP6V1E1,CEACAM3,GLCE,TSPAN31,KLHDC10,CYSLTR2,MIA2,,PAX5,,PPP2R1B,TRAFD1,PAPSS2,TCAP,,SOX17,TEX13A,,HINT1,RPS6KC1,,VWA5B2,,RNASEH2B,CASP1,CAPN5,HOPX,ODAD2,SLC37A4,THEM4,PDILT,,C9orf24,SELP,CFAP126,,MYL11,BTBD9,ENPP6,,MRO,ACSL6,ATP2A1,HOXB13,AOAH,MPHOSPH6,SYTL2,CHCHD10,ACAD11,,CSH1,,SSX7,SNTG1,SPANXC,PDP1
CYP1A1,RBM20,ARHGAP18,KRT20,ZNF227,PDGFD,INTS14,B4GALNT1,FEZF1,GRID2,GPM6A,,HLA-DRB1,,FDX1,TMEM243,ABCA4,CEP19,,DLC1,CTAG1A,,VPREB1,ZNG1B,,DGKQ,,CKAP2,MAP2K5,INTS4,SPACA5B,ZBTB43,POU2F3,TCHH,UMOD,,MYORG,CTU2,NOC2L,,F2,ANKRD45,CASP3,,MBD2,GDF9,IARS1,C1QC,BZW2,CHST5,RAB30,GPR162,IGKV1-17,,LIMD2,,ADH1A,ST18,AKR1C4,RPP25L
ULK3,OOEP,MTFR2,GLOD5,TEX101,PLAC1,CILP,FAIM2,OPN1SW,RIT2,WDR17,,SERPINA3,,C11orf1,CCDC146,GLMP,CBY2,,C8orf48,HSFX2,,DFFB,IL1RN,,SLC26A1,,TBC1D4,SQOR,ZC3H12C,SPACA5,CPT1C,PPP2R1B,RGL4,SIN3A,,NUDT2,MGA,KCTD21,,SLC9A4,CFAP91,EGFLAM,,IER3IP1,FABP7,STK31,KCNE2,TBRG4,KIAA0513,CREBZF,ATP6V1E2,AQP1,,BRIP1,,LIN28B,RGS20,COPS8,FAM219A
GOLGA6D,SPANXA2,SLC2A12,MCC,CCL25,DDI1,PARP16,ESPL1,MYO1B,SETBP1,SPATA4,,S100A4,,FXYD6,TMEM60,ANKRD13B,CD34,,SUN3,CT45A1,,NFU1,CFC1,,LYAR,,THSD1,CTDSPL2,TTC12,MROH2B,XPO6,FDX1,CCDC17,RNASE2,,CCDC171,KICS2,SBSN,,MEIOC,PNMA3,TMEM174,,MRPS36,TXLNB,CGB7,RCAN1,DDX56,FBXL8,PRCP,PRODH2,IGKV1-8,,KAT7,,DIPK1C,TRIM55,RYR2,C9orf24
PCSK6,C10orf62,AIG1,KRT27,COX4I1,FPR2,PPCDC,KRT7,GAD1,PSTPIP2,CD226,,CTSE,,FXYD2,CD36,MT-CYB,GSTA3,,C7orf57,ENSG00000269035,,GKN1,SMPD4,,ATP10D,,LRCH1,MAPKBP1,NCAM1,MAP6,GSG1L,C11orf1,TMEM69,ELSPBP1,,SYK,PRPF8,CGB5,,HCLS1,GPR39,CARTPT,,CCNB1,CITED2,NLGN3,CIART,HUS1,FHOD1,PI15,SHANK3,PNMA2,,ACTL6A,,DNAH17,ADHFE1,LPA,MYORG
CELF6,EFCAB7,TMEM181,ZNF562,EMC8,FPR1,HCN4,ZC3H10,OSGEPL1,SPC25,CNDP1,,SEMA4A,,MMP13,UGT2A3,SMOC1,SELP,,HNF4G,CALR3,,APLF,WDR33,,OCIAD2,,SUCLA2,NUSAP1,DRD2,OTP,CCDC126,FXYD2,ADGRG5,RNASE3,,NIPSNAP3B,PITPNA,APOD,,MTURN,KIRREL1,ANKRA2,,CDK7,IL31RA,ADH7,SNF8,NACAD,AGT,SULF1,ENSG00000251537,LRRD1,,MRPL47,,TMEM72,LACTB2,MAGEA1,NIPSNAP3B
CYP1A2,LDLRAD1,PNLDC1,ZNF561,GSE1,PATE1,SEMA7A,ACVR1B,HAT1,PTH,DLG2,,RYR1,,CASP1,CSN2,MSRB1,KICS2,,SLC30A8,CT45A3,,RGPD8,CCDC115,,SLC10A6,,LMO7,ITGA11,HTR3B,ECEL1,RAB3B,MMP13,ACE,RSPH10B2,,NFIL3,SLC6A19,GAGE2A,,HARBI1,DNAH2,FAM170A,,CD180,TRA2A,CPNE4,CLIC6,DBNL,CAPN9,NXPE4,IGKV1D-39,PCDHGC5,,TRA2B,,CARD9,PSKH2,PAPSS2,LETM2
RHCG,RHOXF2B,VIP,WIPF2,ENSG00000131152,MTM1,FAM13A,MIP,SNRPN,KCNK13,PRSS23,,SRGAP3,,SQOR,UGT2B28,GPATCH3,SLC6A19,,TNFRSF11B,CT45A10,,LUZP1,GYPC,,SCD5,,SCEL,KNL1,GLB1L2,BCL2L1,LMAN2,CASP1,TEPP,PTAFR,,LETM2,TRHR,FSCB,,ARHGAP45,KCNH8,TLR3,,IRAK2,MYOZ3,NTNG2,RUNX1,CCM2,ABCB10,SORL1,PCDHA12,IGKV1-16,,SCN2A,,PEAR1,ATP6V0D2,ABCA4,PRKACG
RLBP1,IFIT1B,GNA12,HOPX,SH3BGRL,HSFX1,HERC3,MAP7,PSMG2,POC5,CCT5,,ATP2A1,,CTDSPL2,PNPLA8,PLXNB3,TRHR,,SBSPON,SSX4B,,HEXD,STAM,,PLAC8,,ITM2B,TUBGCP4,P4HA3,FGG,THBS3,ALKBH8,UROC1,RNASE6,,PRKACG,ATP2A2,CLDN4,,GLIPR1L2,SMTN,TERT,,CAMK1,NEUROD6,ELAVL3,IGF2BP1,MYO1G,NTPCR,BUD13,HOXA10,HLA-DOB,,TBR1,,HELT,SYBU,GLMP,ZMAT4
FANCI,LRIT2,EGFR,SPACA5B,COX7B,KCNMB3,HERC6,AHI1,TWSG1,TADA1,DLAT,,IARS1,,NUSAP1,HILPDA,OXCT2,ZCCHC12,,PHKG1,COMMD3-BMI1,,DRD5,GAD2,,ENOPH1,,EDNRB,RMDN3,GRIK4,FGA,SLC50A1,SQOR,SPON2,CXCL8,,FXN,ZCCHC12,S100A13,,DEFB119,NPW,SLC6A18,,BHLHE40,BMT2,FUT4,GIP,TTYH3,GLUL,TRPC6,SMIM18,IGKV1D-16,,MARCHF7,,EIF4EBP1,DPYS,ANKRD13B,TMEM71
ABHD2,LRRC73,CDCA5,SPACA5,SLC34A1,PRKCE,HERC5,HEY2,ARHGAP22,CWF19L2,IL18,,STK31,,ITGA11,RINT1,EPS8L3,CNTNAP2,,SPIDR,GAS2L2,,CHRNA5,ABI1,,CABS1,,LCP1,ITPKA,ST14,FGB,EFNA1,CTDSPL2,LRRC36,RASSF6,,ZMAT4,CNTNAP2,KRT77,,RNF182,PP2D1,SEPTIN8,,EDEM1,PTTG1,SLC35F1,CHAF1B,CIDEB,STX6,MMP7,PCDHGA5,RPL36A,,ERMN,,PALM3,RSPO2,PPP1R14C,MAMDC2
NTRK3,TCEAL5,IGFBP1,MROH2B,F12,ZNF672,ZGRF1,SMPD2,MYO5C,HOMER1,TEX12,,CGB7,,KNL1,SRPK2,EGFL6,LINGO2,,DEFA5,RASL10B,,GP9,YME1L1,,SNCA,,SCRN1,PLCB2,HYOU1,DSCAM,SH3TC2,NUSAP1,TPPP3,SPRR1A,,PRSS37,LINGO2,BTBD8,,TSPYL5,DENND5A,GDF9,,CNTN6,KCNK5,EVL,GOLGA6A,TTC5,RGS8,MMP27,PCDHGA11,IGKV3-11,,GALNT5,,DMBT1,MAL2,SMOC1,PRSS37
MFGE8,TCEAL6,PSPH,RXFP1,NFATC1,RBKS,AP1AR,MICAL1,CGNL1,BOLL,PTS,,NLGN3,,PARP6,HTR1B,SYCP1,BBS1,,DEFA4,CT45A9,,FASN,TXN,,CAMK2D,,C7orf25,TMEM62,ADAM33,DNAI2,CXCL11,ITGA11,ZDHHC1,HTRA4,,ALDH1A1,DENND4A,MAOA,,PCGF5,CTAG1B,FABP7,,CHL1,KIF6,SPANXD,SCUBE1,NKX2-1,RNASEL,CFAP300,LRRC24,PDXP,,SCN7A,,LCN10,GSDMC,MSRB1,ALDH1A1
ST8SIA2,NEU4,TMEM168,MAP6,IDO1,MUC7,RASGEF1B,PRADC1,TMOD2,SUV39H2,C2orf50,,ADH7,,TUBGCP4,SNX14,RCSD1,DENND4A,,DEFA6,CT45A2,,ACTRT2,ODF2,,CISD2,,TNS3,PAK6,SLC22A8,CLSTN1,GPRIN1,KNL1,AGRP,CLIC4,,KDM1B,MFSD4A,TRIM64B,,PRF1,VPS33B,TLX3,,MEIS2,STEAP1,NOXO1,ARHGAP27,MTHFS,KIAA1614,TRIM29,ARMS2,EGFL8,,BLK,,LDLRAD2,NAPRT,ZNF652,GKAP1
FURIN,C2orf72,TRAPPC14,OTP,CAP1,OPRPN,GPAT3,SEMA4F,TTBK2,OLAH,CRIM1,,CPNE4,,ITPKA,LCA5,MUC2,GCSAM,,GPER1,CCL5,,RFNG,ECPAS,,ANK2,,SPDYE1,DUOX1,KAT14,P2RY6,KCNAB1,HAUS2,C16orf86,MUC15,,GKAP1,KLK15,FHIT,,C3orf22,CNTN2,SFXN1,,DPH6,HEY1,PRTN3,ADPGK,ABHD17C,NPL,SLC37A4,INS,SSX2,,EPRS1,,DNER,VLDLR,PLXNB3,C9orf64
IQGAP1,CLPSL1,NOM1,ECEL1,PPT1,TRIM8,FGF2,EGR4,ELL3,RPP38,DHX37,,NTNG2,,UACA,MAP3K7,PAX9,SLC26A9,,TMEM184A,MILR1,,NRG4,C9orf78,,FABP2,,IGF2BP3,SLC28A2,TKFC,BPTF,PGM2,PARP6,PIP,ZEB2,,HNRNPK,NPAS4,RRP7A,,CHRM4,SPRR4,STXBP5,,KATNBL1,FABP5,NBPF4,PADI4,CIB2,NIBAN1,POU2F3,RTL1,ARHGAP8,,IL10,,KLHL17,PLIN2,OXCT2,TRPV6
CRTC3,ASAH2B,ASB10,FGG,RAB11FIP4,CSN3,BBS7,SMYD5,CCDC32,ZSCAN1,ITPR1,,ELAVL3,,PLCB2,CGA,GK,MFSD4A,,NOS3,CFAP206,,TMEM266,SMC2,,CCNA2,,RAC1,STRA6,TMEM138,S100Z,P2RY12,ITPKA,ZYX,GJB1,,TRPV6,CMKLR1,S100A14,,S1PR5,C1QTNF12,IL31RA,,EMC7,SLC13A4,TSC22D2,CYB5R1,CALCOCO2,PIGC,RDX,ENSG00000254979,IGKV1-9,,KCTD3,,ZCCHC13,CDKN2B,EPS8L3,FBP1
EFL1,AWAT1,NLGN4X,FGA,TRAF3,LRG1,BLTP1,DYSF,DLL4,CAMK4,ENKUR,,FUT4,,TMEM62,PHF21A,CD247,TTC9B,,SPAG11B,ENSG00000272980,,LINGO1,KLF4,,SETD7,,KDELR2,CYP19A1,ROM1,GPR82,PDILT,UACA,ZNF222,DTWD2,,FBP1,UGT8,OTUD6A,,CLRN3,KCNJ12,ANKRD55,,TRPM1,PGAM2,CRYBA4,PSMD4,RSAD1,RC3H1,PPP2R1B,EID3,PLEKHO2,,RPS6KC1,,TMEM221,FBXO10,EGFL6,PGAP4
SH3GL3,SPIN3,CLTRN,FGB,MRPS25,NPTX1,LARP1B,CCDC142,ALDH1A2,ZFP36L2,GPR158,,SLC35F1,,PAK6,NAT10,ARHGAP11A,KLK15,,CA3,GRIN2B,,RBMY1F,RALGPS1,,MARCHF1,,IL6,ZNF280D,OOSP2,RGS19,UMOD,PLCB2,ZNF235,VPREB1,,CYBB,SLCO2A1,HMGB1,,BHLHE22,SIX6,TRA2A,,PRPF38B,BRI3,YRDC,PSMB4,MYCBPAP,DOCK10,FDX1,FXYD6-FXYD2,HOGA1,,ZNG1B,,PLA2G4E,SIGMAR1,SYCP1,CYBB
PMM2,TSBP1,SH3KBP1,DSCAM,SH3BP5,ZDHHC16,MMRN1,KCNMB4,MINDY2,SPEF2,CACNA1C,,EVL,,ADAM10,EHF,TOX,NPAS4,,FMC1,ZBTB8B,,HNRNPF,NIBAN2,,RPS3A,,ZDHHC4,BCL2L10,MS4A3,ANO5,GP2,TMEM62,TNFRSF13C,CLIC3,,MID1IP1,LEP,ZFP92,,MAP6D1,CCSER1,GALNT10,,REG4,CTSB,MYL6B,BTG2,CHAD,HTR2B,C11orf1,HCAR3,PI4KA,,IL1RN,,DAZ1,CEP78,RCSD1,DYNLT3
SLC5A2,PRRT1,TMEM47,DNAI2,HACL1,EXOSC1,PDE5A,USP15,KNSTRN,SPARCL1,THRB,,SPANXD,,DUOX1,PRRG4,CES1,CMKLR1,,GBX1,TBC1D3K,,ONECUT1,TMOD1,,CYP4V2,,AOAH,RSL24D1,PLCH2,VAT1L,RNASE2,PAK6,CCDC28B,GKN1,,CLDN3,CD248,GJB4,,CXCR2,MROH7,NEUROD6,,TSPAN2,SOX17,ESRRG,HK2,DCAF7,SLC19A3,FXYD6,CYP2A6,IGKV1-33,,SMPD4,,FAM166A,NTRK2,SCAMP5,METTL27
ITGAX,BTBD17,LANCL3,PIK3CD,TBC1D5,CLCN5,NAAA,CPM,CLN6,CAPSL,TMEM86A,,NOXO1,,SLC28A2,ATP5MC2,CD3E,UGT8,,OSR2,EPOP,,CTNND2,SLC2A8,,ROPN1L,,TBRG4,SPTBN5,MS4A2,CAMTA1,ELSPBP1,ADAM10,FNDC5,CKAP2L,,NLGN4Y,PDZK1,MYBPC1,,GREM2,S100A7A,BMT2,,TSHB,SUN3,SULT1A1,C1R,GH2,CYP27A1,FXYD2,CAPNS2,TCP10L,,WDR33,,PLA2G2A,IDNK,MAGEB3,MID1IP1
RUSF1,DXO,MSN,SLC25A33,CAPN7,TPPP,NUP54,MPHOSPH6,ARPP19,NADK2,RAD9B,,PRTN3,,STRA6,CD63,PNMA5,SLCO2A1,,TP53INP1,CT45A7,,MUC17,ANGPTL2,,NDUFS6,,DDX56,GCOM1,B3GAT3,LGALS4,RNASE3,DUOX1,CPAMD8,APLF,,AQP3,ADGRE1,PAX5,,C11orf42,SPATA32,PTTG1,,GSTM5,C7orf57,ARL9,ALDH4A1,CSH1,ARMC9,MMP13,HP,PEG10,,UGGT1,,IL17REL,SHC3,PNP,CLDN3
ARMC5,NXPE2,AKAP4,BPTF,RFTN1,KRT13,SEPTIN11,CHST5,VPS13C,GJA1,MAT1A,,NBPF4,,CYP19A1,PRPH,MT-ND4,LEP,,VIRMA,LHX1,,AHSP,SLC31A1,,MARCHF6,,HUS1,GCHFR,EI24,LRRC34,RSPH10B2,SLC28A2,ANKLE1,RGPD8,,ARMC3,DNAH12,HLA-DRB1,,FAM83H,PKP3,CAMLG,,GSTM3,HNF4G,TCEAL3,STARD9,LIMD2,REV1,ALKBH8,MGAM,CT47A2,,GYPC,,C15orf62,AUH,PAX9,GAPVD1
IGSF6,EHMT2,GPR174,S100Z,RBSN,XAGE3,FRAS1,KIAA0513,CALML4,DDX4,TWF1,,CRYBA4,,BCL2L10,AVIL,SHISA4,FAM241A,,PDP1,SOCS7,,WNT10B,TLR4,,CDH18,,NACAD,BCAR3,FEZ1,PAH,PTAFR,STRA6,MIX23,HIC2,,CLDN2,AMY1B,SERPINA3,,PITPNB,MAP7D2,KCNK5,,CHIA,RAD21,MME,THEM4,MRPL47,MFSD9,SQOR,FNTB,IGKV1-39,,STAM,,IGFL1,AOPEP,CD247,WNK2
MYLK3,HSPA1L,NONO,ANO5,SLC6A6,KRT9,CNOT6L,FBXL8,ISLR,SLC30A6,MAGI1,,MYL6B,,RSL24D1,GDF11,MAP3K3,HRAS,,C9orf24,TBC1D3H,,REPS2,ZNF189,,SRD5A1,,CCM2,TTLL7,KIRREL3,GATM,RNASE6,CYP19A1,ABCG1,HEXD,,LRFN5,NLRP6,S100A4,,TCEAL8,ACTRT3,KIF6,,HMGCS2,SLC30A8,HBG2,TCHH,SCN2A,EDAR,CTDSPL2,RNASE12,RBMY1E,,GAD2,,PLSCR1,PLPPR1,SELENOT,NLGN4Y
CHST4,CARD16,EBP,TMEM51,KCNC3,MRPL36,SHROOM3,FHOD1,LOXL1,ANKRD22,TEX30,,ESRRG,,SPTBN5,GLS2,RASGEF1A,CD248,,MYORG,GAGE13,,SYAP1,ALDOB,,SKP2,,MYO1G,KYAT3,MPZL2,SYCE1,CXCL8,BCL2L10,TFF3,CHRNA5,,LRRC18,CATSPERD,STK40,,BBS12,PABPC1L2B,STEAP1,,SORT1,TNFRSF11B,LAMA2,RGL4,TBR1,TGFBRAP1,NUSAP1,SPESP1,SERPINB10,,YME1L1,,ENO4,UGCG,CES1,BRWD3
ZFHX3,CSHL1,AWAT2,LGALS4,NAPSA,KRT20,ANXA3,CCDC102A,MBD4,HHEX,SRFBP1,,ARL9,,GCOM1,ITGA7,SPOUT1,PDZK1,,NUDT2,TPTE,,ITGAM,STX17,,OSMR,,TTYH3,GTF2B,SIDT2,CTPS1,RASSF6,RSL24D1,TFF2,GP9,,TSHR,GPR171,CTSE,,F2R,KCND2,SYTL3,,PTGFRN,SBSPON,ADH1B,CCDC17,ERMN,C2orf49,ITGA11,TUBB3,HLA-DMB,,CDK9,,BSPH1,ACTL7B,CD3E,ARMC3
CPNE2,LY6G5C,SNX12,PAH,NR1H2,KSR2,CENPE,AGT,COPB1,GRM1,AKAP6,,TCEAL3,,GCHFR,TESPA1,RPL39,DNAH12,,CCDC171,TBC1D3L,,TM4SF4,FPGS,,UGT3A1,,TTC5,BRDT,TAGLN,UTF1,COL22A1,SPTBN5,TFF1,FASN,,CFL2,CD164L2,SEMA4A,,PENK,WDR27,HEY1,,ADAM30,PHKG1,UGT2B15,TMEM69,GALNT5,ARHGEF4,KNL1,TSPY1,IGKV1D-43,,ODF2,,CIBAR1,GSN,PNMA5,INTS6L
KIFC3,APOM,IL2RG,GATM,PDLIM4,KRT27,GSTCD,CAPN9,SUMF2,PTPRK,NPAS3,,AFAP1,,BCAR3,FAM186B,NOS1AP,AMY1B,,PRKACG,RIMBP3B,,S100G,BAAT,,SHISAL2B,,NKX2-1,IFI44L,JPH2,EXOSC10,HTRA4,GCOM1,RSPH1,MT1E,,PGM2L1,ZIC4,RYR1,,TMEM132E,FOXO4,FABP5,,CD101,DEFA5,WNK3,ADGRG5,SCN7A,ALDH1L2,PARP6,ITGB3,CNTF,,C9orf78,,ZP3,CRB2,MT-ND1,CLDN2
NUDT7,TRIM64,GCNA,SYCE1,KIF3A,HOPX,ENPEP,ABCB10,PALLD,GGPS1,FAM177A1,,MME,,TTLL7,AGAP2,TBKBP1,NLRP6,,ZMAT4,TBC1D3B,,ZFPM2,ATP6V1G1,,GZMA,,ABHD17C,ARHGAP29,DUSP15,RRM2,CLIC4,GCHFR,PKNOX1,ACTRT2,,SLC16A9,ZG16,SRGAP3,,NME9,PROS1,SLC13A4,,VTCN1,DEFA4,TTC30B,ACE,BLK,STAB2,TUBGCP4,GH1,IGKV1D-17,,SMC2,,GPR15LG,ALAD,SHISA4,LRFN5
CDH11,AIF1,ZNF711,UTF1,MGAT1,SPACA5B,CASP6,NTPCR,SPCS3,CNTNAP4,TMEM18,,HBG2,,BRDT,BLOC1S1,DMD,CATSPERD,,PRSS37,TBC1D3I,,TAS1R3,GARNL3,,HAPLN1,,IREB2,IFI44,C20orf144,IFNB1,ZEB2,BCAR3,CBS,RAC3,,PHOX2A,SLC22A1,ATP2A1,,AATK,GAST,BRI3,,NAPG,DEFA6,SLC30A10,TEPP,GATA4,SLC41A2,ITPKA,RBM15B,STRC,,KLF4,,PDCD1,WDR31,MAP3K3,LRRC18
CDH13,PSORS1C2,DIAPH2,RRM2,GFPT2,SPACA5,LEF1,STX6,BBOX1,RAB3C,KCTD14,,LAMA2,,RABGGTB,KRT85,TGM2,RAB1B,,ALDH1A1,GAGE2E,,TIGD4,DPM2,,LHFPL2,,CIB2,CLCA2,KIAA1755,PRND,DTWD2,TTLL7,CRYAA,NRG4,,MBL2,DSG4,STK31,,SAGE1,NUTM1,CTSB,,PPHLN1,SUN1,TLR7,UROC1,EPRS1,VILL,UACA,SPDYE6,RBMY1B,,RALGPS1,,CLEC2A,SURF4,L1CAM,TSHR
ADAD2,CDSN,NXF3,IFNB1,RPL27,MROH2B,PAPSS1,RGS8,KCNC1,MARVELD2,THRSP,,ZNF846,,IFI44L,PPP1R1A,RORB,SEZ6L2,,HGSNAT,CCL4,,NLGN2,TSTD2,,BHMT,,CALCOCO2,DBT,SOGA1,PRNP,VPREB1,KYAT3,HSF2BP,LIMS1,,GJB2,DES,CGB7,,ACBD4,BEX5,SOX17,,FKBP11,OXR1,ZFP62,LRRC36,HLX,FLNB,PLCB2,TBC1D3G,IGKV3-7,,TMOD1,,DYNLT4,GBGT1,POU3F3,CFL2
