adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,caudate,cerebellum,cerebral cortex,cervix,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,substantia nigra,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
SARM1,MPO,HSPB6,MEOX1,DBNDD1,SKAP2,CD38,ICA1,KLHL13,CAMKK1,KDM1A,,GCFC2,CAPS,ICA1,CYP26B1,SLC25A5,HOXA11,CRYGB,CDC27,ITGAL,DSG4,SKAP2,SARM1,HTR7,FKBP4,,SARM1,TFPI,PRSS22,CALCR,SKAP2,AK2,SLC4A1,HOXA11,,SLC25A13,MPO,MPO,RP1,THSD7A,ACSM3,PRSS22,,KLHL13,SLC4A1,PON1,NDUFAB1,ICA1,TFPI,NDUFAF7,RHBDD2,ABCB4,,ICA1,,CIAPIN1,CD38,PON1,SLC4A1
PLXND1,PON1,SLC22A16,THSD7A,ALS2,HOXA11,HSPB6,ALS2,CYP26B1,HSPB6,CAMKK1,,ABCB4,CPVL,ALS2,ICA1,MCUB,THSD7A,KRT12,SLC4A1,ITGA2B,KRTAP11-1,HOXA11,PLXND1,SST,KDM1A,,AK2,SARM1,HOXA11,PRSS22,HOXA11,CD38,CALCR,DHX33,,SLC4A1,PON1,PON1,CRX,ACSM3,REXO5,HOXA11,,CYP26B1,CALCR,GCFC2,PDK4,CASP10,SARM1,SARM1,ITGAL,KMT2E,,ALS2,,PRKAR2B,HSPB6,ABCB4,CALCR
CD38,ABCB4,ST7,ACSM3,CASP10,DHX33,ARHGAP33,CASP10,ICA1,ARHGAP33,HSPB6,,KMT2E,SFRP4,SARM1,ALS2,HOXA11,ACSM3,OPTC,CALCR,CRLF1,TCHHL1,THSD7A,AK2,TPPP3,RBM6,,CD38,PLXND1,DHX33,SKAP2,THSD7A,FKBP4,PRSS22,THSD7A,,CALCR,ABCB4,GCFC2,CABP5,REXO5,CIAPIN1,THSD7A,,ICA1,PRSS22,ABCB4,SLC22A16,SARM1,AK2,PLXND1,ITGA2B,RHBDD2,,CASP10,,MPO,ARHGAP33,KMT2E,PRSS22
FKBP4,KMT2E,SLC4A1,REXO5,CFLAR,THSD7A,SLC22A16,NDUFAF7,ALS2,SLC22A16,NDUFAB1,,RHBDD2,ACTA2,PLXND1,SARM1,THSD7A,REXO5,CRYBA4,PRSS22,YBX2,KRT79,REXO5,CD38,AGRP,HSPB6,,FKBP4,AK2,MEOX1,HOXA11,ACSM3,CAMKK1,SKAP2,LIG3,,DVL2,KMT2E,ABCB4,ITGB8,CIAPIN1,MPO,ACSM3,,DBNDD1,SKAP2,KMT2E,SLC4A1,AK2,CD38,AK2,CRLF1,ITGAL,,PLXND1,,PON1,SLC25A13,RHBDD2,SKAP2
CAMKK1,RHBDD2,CALCR,CIAPIN1,TFPI,REXO5,SLC25A13,SARM1,CASP10,ST7,SLC22A16,,ITGAL,SLC9A3R1,AK2,PLXND1,REXO5,CIAPIN1,CRYGS,SKAP2,KRT33A,KRT73,CIAPIN1,KDM1A,HCRT,SLC22A16,,CAMKK1,CD38,THSD7A,DHX33,REXO5,ARHGAP33,MCUB,ACSM3,,PRSS22,RHBDD2,KMT2E,NPVF,MSL3,ABCB4,REXO5,,ALS2,MCUB,RHBDD2,CALCR,CD38,FKBP4,CD38,YBX2,ITGA2B,,CD38,,GCFC2,ST7,ITGAL,SLC25A5
NDUFAB1,ITGAL,PRSS22,PRKAR2B,NDUFAF7,SPPL2B,ST7,PLXND1,SARM1,SLC4A1,SLC25A13,,ITGA2B,SCGB2A2,CD38,AK2,MPO,SPPL2B,CRYBB2,HOXA11,ABCC8,KRT26,PRKAR2B,CAMKK1,CARTPT,SLC25A13,,RECQL,FKBP4,REXO5,THSD7A,CIAPIN1,NDUFAB1,HOXA11,REXO5,,SKAP2,ITGAL,RHBDD2,RGS9,MPO,KMT2E,CIAPIN1,,CASP10,HOXA11,ITGAL,PRSS22,KDM1A,KDM1A,FKBP4,KRT33A,REX1BD,,KDM1A,,ABCB4,SLC4A1,ITGA2B,MCUB
SLC22A16,ITGA2B,SKAP2,PON1,SARM1,ATOSB,SLC4A1,AK2,AK2,CALCR,SLC4A1,,CRLF1,VWF,CAMKK1,CD38,PON1,PRKAR2B,,DHX33,CACNG3,S100A3,MPO,HSPB6,CRABP1,SLC4A1,,HSPB6,KDM1A,CIAPIN1,REXO5,COPZ2,SLC22A16,DHX33,CIAPIN1,,SLC25A5,ITGA2B,ITGAL,RCVRN,PON1,ITGAL,PRKAR2B,,TFPI,THSD7A,ITGA2B,UPF1,RBM6,CAMKK1,VPS50,CACNG3,CRLF1,,RBM6,,KMT2E,CALCR,CRLF1,HOXA11
SLC4A1,CRLF1,HOXA11,GCFC2,PLXND1,MPO,CALCR,CD38,CD38,HCCS,CALCR,,YBX2,CD69,HSPB6,KDM1A,ABCB4,MSL3,,THSD7A,TMEM132A,KRTAP24-1,PON1,ARHGAP33,TRH,CALCR,,ARHGAP33,HSPB6,ATOSB,ATOSB,MSL3,SLC25A13,MEOX1,MSL3,,HOXA11,CRLF1,ITGA2B,UNC119,ABCB4,ITGA2B,MSL3,,NDUFAF7,REXO5,CRLF1,SKAP2,CAMKK1,VPS50,HSPB6,PHTF2,YBX2,,CAMKK1,,ITGAL,PRSS22,YBX2,THSD7A
CALCR,YBX2,DHX33,ABCB4,AK2,PON1,PRSS22,FKBP4,FKBP4,PRSS22,HCCS,,KRT33A,RSPH4A,ARHGAP33,CAMKK1,KMT2E,MPO,,REXO5,AP2B1,GJB4,GCFC2,NDUFAB1,OTP,PRSS22,,NDUFAB1,ARHGAP33,COPZ2,MPO,MPO,ST7,THSD7A,MPO,,THSD7A,YBX2,CRLF1,COL9A1,KMT2E,REX1BD,MPO,,SARM1,CIAPIN1,YBX2,DHX33,HSPB6,HSPB6,ARHGAP33,PRSS21,KRT33A,,RECQL,,ITGA2B,SKAP2,KRT33A,ACSM3
HCCS,KRT33A,THSD7A,ITGA3,CD38,GCFC2,UPF1,CAMKK1,RBM6,SKAP2,PRSS22,,CACNG3,CAP2,SLC22A16,VPS50,ITGAL,PON1,,CIAPIN1,TAC1,KRT35,ABCB4,SLC22A16,ECEL1,UPF1,,PDK4,NDUFAB1,PRKAR2B,GCFC2,PON1,CDC27,ACSM3,PON1,,ACSM3,KRT33A,YBX2,GUCA1B,RHBDD2,CRLF1,PON1,,CD38,ATOSB,KRT33A,THSD7A,ARHGAP33,ARHGAP33,NDUFAB1,PROM1,CACNG3,,HSPB6,,CRLF1,MCUB,ABCC8,REXO5
PRSS22,TAC1,REXO5,CRLF1,FKBP4,WDR54,SKAP2,RECQL,CAMKK1,MCUB,SKAP2,,TMEM132A,HGD,SLC25A13,HSPB6,ITGA2B,ABCB4,,SPPL2B,SCIN,PRR9,KMT2E,ST7,SCG2,SKAP2,,SLC25A13,SLC22A16,MPO,WDR54,WDR54,SLC4A1,REXO5,GCFC2,,SPPL2B,CACNG3,KRT33A,PRPH2,ITGAL,YBX2,GCFC2,,FKBP4,MSL3,CACNG3,LIG3,NDUFAB1,NDUFAB1,SLC25A13,NOS2,PHTF2,,ARHGAP33,,YBX2,HOXA11,CACNG3,CIAPIN1
UPF1,SCIN,CIAPIN1,OSBPL7,CAMKK1,ABCB4,MCUB,HSPB6,RECQL,HOXA11,SLC25A5,,TAC1,EFEMP1,ST7,SLC22A16,REX1BD,KMT2E,,ATOSB,PRSS21,KRT40,RHBDD2,SLC4A1,PMCH,SLC25A5,,ST7,SLC25A13,PON1,ABCB4,ABCB4,CALCR,CIAPIN1,ABCB4,,CREBBP,TMEM132A,CACNG3,IMPG1,ITGA2B,KRT33A,ABCB4,,CAMKK1,MPO,TMEM132A,ACSM3,SLC22A16,PDK4,ST7,DNAH9,USH1C,,SLC22A16,,KRT33A,THSD7A,TMEM132A,PRKAR2B
SKAP2,PRSS21,SPPL2B,YBX2,HSPB6,KMT2E,HOXA11,ARHGAP33,HSPB6,THSD7A,HOXA11,,TNFRSF12A,FN1,SLC4A1,SLC25A13,CRLF1,RHBDD2,,MSL3,NOS2,KRT25,ITGAL,CALCR,PABPC1L2B,MCUB,,CDC27,ST7,GCFC2,KMT2E,KMT2E,PRSS22,MSL3,KMT2E,,MPO,AP2B1,TMEM132A,GRM6,CRLF1,MAP3K14,KMT2E,,HSPB6,PON1,TAC1,REXO5,SLC25A13,SLC22A16,SLC4A1,SLC13A2,PRSS21,,SLC25A13,,CACNG3,ACSM3,AP2B1,MPO
MCUB,NOS2,ATOSB,KRT33A,ARHGAP33,RHBDD2,MEOX1,NDUFAB1,NDUFAB1,ACSM3,MEOX1,,USH1C,GNLY,CALCR,ST7,YBX2,ITGAL,,MPO,DNAH9,FABP9,ITGA2B,HCCS,PABPC1L2A,HOXA11,,SLC4A1,CDC27,CROT,ITGAL,RHBDD2,SKAP2,MPO,RHBDD2,,PON1,TAC1,AP2B1,GRK7,YBX2,CACNG3,RHBDD2,,ARHGAP33,CROT,SPATA20,CIAPIN1,SLC4A1,SLC25A13,CALCR,GAS7,NOS2,,ST7,,TMEM132A,REXO5,TAC1,PON1
