adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,cartilage,caudate,cerebellum,cerebral cortex,cervix,choroid plexus,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
,ALDH1L1,FIGNL1,TMEM68,TPGS2,NCOR1,,CNIH4,NIP7,BCAS4,CMTM3,,ATF1,,CERS2,,DENND4C,FGD4,SNRPG,MMS19,,WRAP53,STAC,,H4C8,HIGD2A,,NDUFA10,,PGAP2,FLNB,POLE3,PDIA6,LAPTM5,LMBRD1,STK26,ANAPC10,,OASL,GUCY1A2,BCAS3,,L3MBTL4,VWA5B2,USP49,,MYBBP1A,METTL21A,TMCO1,ZDHHC21,GBP4,TCP11L2,CCT3,LMO4,MRPS5,CLCC1,,DCAF1,ALDH1A2,SMAD4,JAM3
,TRPC1,DDC,GHDC,SLC43A3,COPS3,,ITPKB,TERF2,MTRR,NOL3,,NCKAP1L,,ENSA,,RPS6,NDUFA9,ABHD1,ZFYVE27,,MINK1,RPL32,,MITD1,TNFRSF21,,FCHO1,,HSD17B12,NEK3,SURF1,ABCG8,SDC3,TTC39C,PUM1,ABCE1,,RNFT2,XRCC4,TAF4B,,GABPA,FIP1L1,ZNF704,,RPA1,NBEAL1,POU2F1,PLEKHF2,BRINP3,GPR176,STK36,SLC44A3,EXOC6B,ACVR2A,,ILDR1,MINDY2,ZCCHC2,HIF1AN
,NCEH1,GRSF1,ZNF598,TIMM10,GID4,,GUK1,VPS4A,VAMP7,MAP1LC3B,,PFDN5,,ARNT,,CNPY3,TAPBPL,SNRNP200,GOLGA7B,,CCDC40,SLC25A26,,TSPAN33,DAAM2,,MAP1S,,APIP,VPS36,SURF2,EML4,KIAA1522,GLYCTK,PHC2,OTUD4,,CCDC146,NMT2,RPRD1A,,XPC,KLHL8,FNDC1,,UBE2G1,KANSL1L,ADCY10,ORAI3,GFI1,IKBIP,CWC22,PSMA5,SFXN5,RPL21,,VWA5B2,KNSTRN,NT5C3B,ZFYVE19
,DCAF1,JCHAIN,MLST8,FADS2,MYOCD,,CDC42BPA,MTSS2,STAMBP,MBTPS1,,SPATS2,,GABPB2,,FOXP4,RBP5,EXOC6B,HSPA13,,ARHGDIA,UBA3,,NRG2,TTBK1,,PGPEP1,,TNKS1BP1,TBC1D4,SURF6,CALM2,FAAP20,IRF2BP2,GNL2,LSM6,,PNPLA8,USP12,C18orf21,,FGD5,TBCK,CHMP4C,,PNISR,SPAG16,UFC1,LYSMD3,EXTL2,HIF1AN,TRAT1,C1orf162,TEX261,GTF3A,,ATP10D,DUT,RETREG3,BTRC
,MANF,ANKRD17,ABCA3,TMEM258,KSR1,,C1orf35,HSPA12B,NAGK,MEAK7,,NR4A1,,TAF1A,,KLC4,PEX5,NPHP1,USP25,,TMC6,ARL6IP5,,TSR2,NFKBIE,,TRPM4,,CSTPP1,SUCLA2,GTF3C5,WDPCP,MEGF6,BMI1,AGO4,ITGA2,,HILPDA,ZFP36L2,OSBPL1A,,FLCN,CAMK2D,PGAM2,,FIGNL1,RHBDD1,PPOX,JAKMIP2,OLFML2B,NDUFB8,SUCLG1,ALDH9A1,MALL,RASL11A,,OCIAD2,CHAC1,ERBB2,LARP6
,DGKQ,UTP3,DDB1,TMEM165,GFOD2,,MBOAT2,PCED1A,PAIP2B,RHOT2,,LRP1,,TP53BP2,,KIF13A,PIANP,SLC20A1,ZCCHC10,,SLC16A3,ADPRH,,ZC3H18,RSPO3,,CRB3,,CELF1,COG3,ASB6,ETAA1,DIRAS3,THAP11,BTF3L4,EDIL3,,TES,PAN3,NPC1,,OXNAD1,CISD2,LMTK2,,GRSF1,VGLL4,PFDN2,ZNF683,IER5,ZFYVE19,PYHIN1,NME7,THNSL2,FYTTD1,,ENOPH1,ISLR,SLC39A3,API5
,FIP1L1,WBP2,BSCL2,CLOCK,NOB1,,LBR,BTBD3,SNRNP27,NDUFB10,,ATG101,,JTB,,YIPF3,SCAF11,FAHD2B,DBI,,TBCD,SRPRB,,ZFAND2B,TAAR1,,CAMSAP1,,HIKESHI,ITM2B,NTMT1,ABHD1,OMA1,H1-4,DSC2,LMBRD2,,MDFIC,DMP1,SLC14A1,,CXXC1,TIFA,PEX2,,UTP3,RAB5A,USP21,UFSP1,SNED1,SPINT1,IFI16,POGK,SLC20A1,MTERF4,,PYURF,LOXL1,PLPP2,SENP8
,ENOPH1,UNK,MAP4K2,PDGFRA,PCTP,,PDIA6,POLR3F,MPHOSPH10,PDPK1,,IKZF4,,TPM3,,HMGA1,LRIG3,SPOPL,SLC16A1,,FOXK2,TMEM108,,TMED4,SLC18B1,,UBAC1,,INTS4,SPRY2,CIZ1,MEIS1,MYSM1,IRF2,ELP2,RANBP3L,,CEP162,MBNL1,WRAP53,,SKA1,SPATA5,SPIDR,,WBP2,STK11IP,PRCC,TCP11L1,BPNT1,BTRC,EIF5A2,MPC2,ZC3H8,KIAA1191,,TBCK,MBD4,PFKL,COPS2
,TBCK,ZRANB2,CCDC88B,ARGLU1,TOM1L1,,ATP6V1C2,RIN2,ATP8A1,TIGD7,,KBTBD4,,SNAPIN,,MDC1,DUSP6,POLR2D,NIFK,,TRIM65,EIF2A,,GPAT4,SHPRH,,SAMD10,,PAK1,NUDT15,MIGA2,SNRNP200,TM2D1,SEPTIN2,DTNA,RNF180,,NT5E,NADK2,SAT2,,PIEZO2,METTL14,ORC5,,TRIM47,DYNC1LI1,METTL25B,CCDC57,KIF26B,SENP8,ICA1L,POU2F1,AFF3,COPA,,CISD2,COPB1,DPP9,ARIH1
,CAMK2D,KDM6B,SCARA5,ERCC5,KIF2B,,ABCG8,PTPRA,USP22,DEF8,,SARDH,,UBAP2L,,ATAT1,TMTC3,UBR3,PDIA4,,SECTM1,FAM86B2,,DUSP23,TIAM2,,ATXN10,,RPS3,RCBTB2,GPR107,TPRKB,DNAJB4,FILIP1L,TMEM258,ADGRV1,,EPHA7,PELO,PIK3R5,,ACSS1,USP53,OSGIN2,,KDM6B,GASK1A,MRPL24,BNIP3,PPP1R21,COPS2,PPP4R2,UFC1,UBXN4,LY9,,SPATA5,PSMA1,SIRT3,COX11
,CISD2,GPS2,COPS6,TPP2,TOB1,,EML4,DAP3,HIF3A,TCF25,,DBH,,CREB3L4,,TPMT,AMDHD1,PHOSPHO2,KDM8,,CEP131,LPP,,USF1,WTAP,,TUBGCP2,,ZC3H12C,TNS3,PAXX,EXOC6B,FAM102B,DTYMK,CLDN10,PRRC1,,ORC3,SAR1B,TP53,,APOOL,SETD7,OXR1,,CLEC10A,SLC25A38,ISG20L2,RTTN,OXER1,CUL5,GTPBP8,PPOX,SPOPL,RBBP6,,METTL14,SERGEF,PGGHG,STXBP4
,TIFA,XAF1,ANKS3,POGLUT2,VPS53,,RPS27A,KHDC4,USP9X,GALNS,,ATPAF1,,C1orf43,,VARS2,NEDD1,GULP1,TMEM237,,ZNF750,DCAF1,,DEDD,ZMYM4,,PNPLA7,,ATM,CHST12,SEC16A,MALL,HENMT1,TAP1,DZIP1,GRPEL2,,MAP3K7,GPR180,TMC6,,PROM2,NAF1,GPER1,,GPS2,ITGA9,ABL2,ZNF135,B3GALNT2,WBP1L,WDFY3,PFDN2,SLC4A10,SERAC1,,USP53,TPH1,HUNK,CUL5
,SPATA5,DLG4,RNF187,CARS2,NPEPPS,,WDPCP,NES,TRERF1,GAS8,,HJURP,,GATAD2B,,CCDC90B,SLC15A4,HSPD1,FZD7,,CBX4,MANF,,PINK1,ARMT1,,PAK4,,LAMTOR1,KDELR2,NOTCH1,SLC20A1,C1orf52,ING5,ARGLU1,ARSK,,LMO2,SREK1IP1,FN3KRP,,OTUD6B,MARCHF1,FASTK,,REEP2,GOLGA4,XPR1,COX8A,MAPKAPK2,BORCS7,PTPN13,USP21,PHOSPHO2,ANXA11,,NAF1,E2F8,IFNAR1,WBP1L
,USP53,PCBD2,MAPK1IP1L,STT3A,LRRC46,,ETAA1,BCAN,PACSIN1,NCOR1,,AMD1,,INTS3,,RAB30,TDG,METTL21A,LSM11,,SMAD4,ILDR1,,RAPGEF6,SLC22A3,,TAF4,,ADAM33,ZDHHC4,PROSER2,FAHD2B,GBP2,RHOH,ERCC5,SERINC5,,PHF21A,CDYL,RPTOR,,CDK19,RPS3A,PHAX,,PCBD2,STAC,RGS16,CDC26,CAPN2,ANAPC16,THOC7,PRCC,HSPD1,LDB3,,MARCHF1,DCTD,DNMT3L,BORCS7
,MARCHF1,FLOT2,LMBRD1,KLB,CLTC,,SNRPG,HAPLN2,WRNIP1,GID4,,USP45,,PKLR,,PRCP,RITA1,NBEAL1,PXYLP1,,TNFRSF11A,VWA5B2,,ALG8,C7orf50,,OSBPL2,,TKFC,AOAH,USP6NL,SPOPL,GBP4,COG7,TPP2,ERAP1,,PRRG4,CARHSP1,TRIM65,,MMS19,CBR4,FOXK1,,FLOT2,RPL32,RGL1,WDR25,MRPL55,APBB1,PPM1K,METTL25B,METTL21A,SHLD2,,RPS3A,RPAIN,TMEM50B,ANAPC16
,CYP4V2,ERAL1,TTC39C,WDR36,BCAS3,,ABHD1,DCAF8,RRP36,MYOCD,,FAM199X,,C1orf131,,NARS2,MMAB,KANSL1L,RASA2,,ZCCHC2,DGKQ,,PAXBP1,SDK1,,ADRM1,,MTA2,TBRG4,PDSS1,PKP4,ZNF326,STIP1,POGLUT2,RICTOR,,CAPRIN1,TXNDC11,DYM,,ZFYVE27,MARCHF6,FZD6,,ERAL1,IL17RD,ADAMTSL4,RMDN1,REL,TRIM44,SMIM14,MRPL24,NBEAL1,PRXL2A,,NDUFS6,PLD2,SAE1,APBB1
,CDH18,PRMT7,UBTD2,OSTF1,SS18,,ZNF514,DPH2,SERPINB6,KSR1,,RAB9A,,GALNT2,,RNF121,GLTP,SUMF1,RMND1,,RETREG3,SLC26A1,,IFNGR2,CDCA5,,FIBCD1,,TMEM138,HUS1,FAM171A1,SLC4A10,GFI1,RAB31,ARHGAP32,GFM2,,ATP5MC2,BCL2L11,ELAC1,,GOLGA7B,SRD5A1,CTHRC1,,PRMT7,SLC25A26,ANP32E,RUFY1,TRIM17,TAF10,DNASE1L3,ABL2,SPAG16,RPL5,,SRD5A1,CD68,ADAMTS10,NUDT13
,MYO10,NIP7,THAP11,RFK,AFG3L2,,TPRKB,MUTYH,H1-3,GFOD2,,ACVR1C,,MAP3K21,,MRPL15,NUP58,RHBDD1,CARNMT1,,ERBB2,SCD5,,SON,MDH2,,CHMP2A,,FADS1,NACAD,MINDY3,LNPK,EXTL2,ATXN2L,STT3A,GRIK2,,DNAJC14,ANAPC1,MBD1,,HSPA13,MYO10,DCAF13,,NIP7,UBA3,ANXA9,FUT2,ARL5A,ATP9B,APBB2,XPR1,SUMF1,ODF2L,,MYO10,TXNDC17,RNPEPL1,TRIM44
,OSMR,TERF2,PXK,UBQLN1,SLC39A6,,SLC20A1,CTNNBL1,PEX6,NOB1,,SLC36A1,,ACP1,,GGH,SLC46A3,DIS3L2,MIDEAS,,GRB7,ENOPH1,,PRAC1,NIPSNAP2,,UBE2M,,CPSF7,DBNL,NRBF2,PHOSPHO2,NLRP3,CAVIN2,KLB,CGAS,,CD63,CAST,ZCCHC2,,SAMSN1,OSMR,INTS8,,TERF2,ARL6IP5,CERS2,FIBIN,WDCP,RIC3,IL17RC,RGS16,ANKMY1,TRMT13,,OSMR,FXR2,CAPN10,DCHS1
,PIK3R1,VPS4A,PCMTD1,ANXA1,OSBPL1A,,ZC3H8,RBM38,AARS2,PRPSAP2,,KCNJ2,,SNAP47,,SULF1,LNX2,VGLL4,FAM161B,,SLC39A3,GC,,CIART,ATXN7L1,,YIPF2,,EI24,CCM2,LRMDA,FAM171B,RBM15,FNTA,TMED7,SFXN1,,GDF11,SCOC,PMAIP1,,USP25,PIK3R1,PDP1,,VPS4A,ENSG00000144785,ARNT,SMCR8,SMC6,CDYL2,CRELD1,RGL1,VGLL4,LRRC39,,PIK3R1,PHF20L1,ZNF787,IFTAP
,FBXL17,HSPA12B,KCTD6,CTSL,NPC1,,FAHD2B,OSER1,RPS10,PCTP,,EXOSC9,,SDE2,,TGS1,SUOX,STK11IP,DPY19L4,,NFIC,TBCK,,SNF8,TMEM168,,ATG4D,,ESAM,CIDEB,CAMK2G,METTL21A,DENND2D,SERINC2,NREP,TMEM200A,,GLS2,CETN3,NT5C3B,,PPM1J,LHFPL2,WASHC5,,HSPA12B,PHLDB2,GABPB2,DEAF1,SLC16A14,LEO1,PCOLCE2,PRUNE1,CNOT9,RPAP2,,LHFPL2,CCNT1,TIMM29,ATP9B
,FEM1C,ANKEF1,IRF2,CEMIP2,WRAP53,,GPR17,PPP1R3D,H2BC11,TOB1,,PLA2G12A,,FBXO28,,NEK1,TARBP2,GMPPA,NDUFAF6,,PFKL,CAMK2D,,CBR3,SLC12A9,,EIF2S3,,TMEM25,TTC5,ADD3,KANSL1L,IER5,GFRA2,WDR36,PDSS2,,ITGA7,SMARCA5,RETREG3,,OXA1L,SLC30A5,FAM219A,,ANKEF1,ABHD10,KCNH1,MTX3,SGCB,TMX3,U2SURP,TUFT1,STK11IP,BBS9,,IQGAP2,PUS7L,CARM1,MOGAT2
,CXCL14,POLR3F,SEPTIN2,AGTPBP1,MINK1,,SLC4A10,FBXO44,TBCC,VPS53,,B9D2,,GUK1,,SORL1,N4BP2L1,DYNC1LI1,DRAM2,,DPP9,CISD2,,HLCS,GIGYF1,,ZC3H4,,SOGA1,MTHFS,DNAJB12,SPAG16,BPNT1,ING2,OSTF1,SLU7,,BLOC1S1,RASSF3,GRB7,,MIER3,FEM1C,PSIP1,,BTBD3,ATG3,EIF2D,SCN4B,SMARCAD1,HDGFL3,HPS3,SF3B4,GMPPA,PMS2,,PPIP5K2,KRI1,ZNF473,SERPINB8
,DDX46,RIN2,FILIP1L,ENTREP1,CCDC40,,LNPK,CPLANE2,KLHDC3,SGSM2,,COQ8B,,CDC42BPA,,BUD13,SMARCC2,RBMS3,CLDN17,,PGGHG,ANK2,,ATP13A2,TRIM4,,GMFG,,TRPT1,ABHD17C,MKI67,RHBDD1,BROX,CDKN2AIP,UBQLN1,USP49,,TROAP,AHCTF1,MIEN1,,C9orf85,DDX46,UBAP1,,PCNA,BOC,TAF1A,DSCAML1,RNF149,ZNF3,RYK,ZNF687,EAF1,SEPTIN7,,SLC30A5,CDKN2D,RPL13A,TUB
,RMND5B,PTPRA,MFSD2A,TAOK3,TMC6,,GULP1,CASP9,TREM1,CLTC,,PFKFB2,,C1orf35,,TRPC6,MAP3K12,SLC25A38,TIAM1,,IFNAR1,TIFA,,PSMB4,EPHA1,,MAP3K10,,NUDT22,CALCOCO2,FUOM,DIS3L2,CNST,TMEM223,NAA35,ZNF704,,TSPAN31,MERTK,NFIC,,PIK3AP1,FBXO38,ABCA1,,RIN2,TMEM108,TP53BP2,EPS8L2,BOLA3,TK2,UCN,TARS2,POMGNT2,KLHL7,,BTF3,KLK8,RERE,IDH3A
,CPLX2,DAP3,DTYMK,SDS,ANAPC11,,METTL21A,DCTN4,SOX4,BCAS3,,ACSL3,,PARP1,,DCUN1D5,GALNT6,IQSEC1,RPGR,,SOD1,METTL14,,HK2,NOM1,,ARHGEF16,,MRPL49,NMT1,LIN7C,FANCD2,PPP1R21,TMUB2,CTSL,TAGAP,,ZC3H10,NR4A2,PLPP2,,RBM45,PCYOX1L,KDM1B,,PTPRA,TRPC1,JTB,ANO6,CDC42EP3,CENPV,SLC4A1AP,ADAMTSL4,ITGA9,HERPUD2,,RNF145,ADCY4,EFHD2,TRIM66
,TBC1D7,KHDC4,ING5,BICDL1,TBCD,,KANSL1L,MTUS2,GLO1,PTRH2,,CHPF,,PLEKHA6,,YAP1,MYG1,IL17RD,CDK20,,COL6A2,USP53,,STARD9,NCAPG2,,LRRC47,,FAU,SRSF1,IMMP1L,RAB5A,OXER1,STAT3,CEMIP2,COL1A2,,HNRNPA1,TRAPPC8,SH3GL1,,PDIA4,TNIP1,HGSNAT,,KHDC4,FAM86B2,TPM3,RPS6KA3,CCNYL1,RRAD,FYCO1,PI4KB,STAC,CBX3,,FBXO38,BCL2L2,PEX14,DENND2B
,FARS2,ARHGEF11,RHOH,DMTF1,RPTOR,,SPAG16,ZMYM5,CPNE5,AFG3L2,,OBSL1,,CHAC2,,SLC37A4,ANKRD52,SLC25A26,PCDH1,,SIK1,MARCHF1,,UBR1,SHROOM2,,ATP5IF1,,VPS51,VEZF1,HSD17B12,STK11IP,B3GALNT2,ZSWIM1,AGTPBP1,FNDC1,,AFG1L,FBXL2,DPP9,,TMEM237,G3BP1,METTL27,,ARHGEF11,LPP,UBAP2L,PUS1,GNPDA2,CIAO2B,NMNAT3,PIP5K1A,RPL32,HNRNPA2B1,,PCYOX1L,PARP2,PGD,CDYL2
,TRIM7,DCAF8,COG7,CCDC146,TRIM65,,COPS7B,POMP,SSR1,C18orf21,,SLC12A4,,RPS27A,,PPP2R1B,ZNF740,UBA3,PPP2R2B,,SAE1,RPS3A,,AMFR,LUC7L2,,THEMIS2,,TAOK2,TACO1,EIF3M,EAF1,MRPL55,AXIN2,GOLM1,LMTK2,,NHSL1,RMND5A,CCDC97,,RNF20,N4BP3,MID1IP1,,DCAF8,TCTA,CREB3L4,CHD9,PMVK,HSP90B1,SMIM12,ANXA9,SHQ1,NPY,,BOD1,FOXA1,RPL11,ATMIN
,TRIM41,DPH2,HEXIM2,CD36,CBX8,,RAB5A,WASF3,SLC35B3,GALNT1,,ENKD1,,WDPCP,,FXYD6,VPS37B,ARL6IP5,RPL30,,CBLC,CYP4V2,,MED8,LANCL3,,CLIP1,,CNTN5,DCAF7,SSRP1,DYNC1LI1,WDR26,NDUFS5,ENTREP1,CTSB,,AHI1,CNKSR3,SIRT3,,LSM11,NHP2,CARD19,,ALDH3B2,DCAF1,C1orf43,GJD4,INAVA,BEX3,POLR2H,SELENBP1,SLC25A26,HYCC1,,FAM50B,MIS18BP1,ZNF593,LEO1
,TNFRSF21,TOE1,CDKN2AIP,PNPLA8,SECTM1,,CNOT9,RNF17,ATXN1,GAREM1,,FAM210B,,REG3G,,CASP1,RHOF,TMF1,PABIR3,,ADAMTS10,MARCHF6,,GPBP1L1,KDM6A,,HIP1R,,MKX,BRIP1,PTPRJ,RBMS3,REL,LDLRAD4,CCNJL,OXR1,,PKIB,GTF2E1,PGGHG,,PXYLP1,BOD1,WNK2,,MMACHC,VWA5B2,GATAD2B,CCDC71,KBTBD8,PLEKHA7,RPN1,CERS2,UBA3,FKBP9,,FARS2,NEDD8,MAP3K6,HDGFL3
,RASGEF1C,MUTYH,SNRNP48,RINT1,CEP131,,MARCHF4,PEMT,DEK,ESCO1,,SNX21,,ETAA1,,SQOR,DENR,ATG3,TYSND1,,RNPEPL1,SRD5A1,,NAE1,MSN,,ZNF317,,EEF1AKMT1,KAT7,ARFGAP2,ACKR2,PEX13,PKIG,TAOK3,GPER1,,SMPD2,CFDP1,HUNK,,MICU3,ZMAT2,ATP7A,,TOE1,SLC26A1,INTS3,LRRN4CL,NAXE,ZNF606,HEYL,MRPL9,ARL6IP5,NT5C3A,,ZMAT2,DAD1,WDTC1,ZNF3
,DAAM2,CTNNBL1,ZSWIM1,MDFIC,MBD1,,EAF1,SCO1,EEF1E1,OSBPL1A,,TTPAL,,SNRPG,,THBS1,RBM26,SRPRB,UBE2L6,,CAPN10,MYO10,,EFCAB14,HDAC8,,EIF3G,,LATS2,NDUFB5,HIKESHI,STAC,TRIM17,CNNM3,USP30,INTS1,,MICAL1,CMIP,TMEM50B,,GRIP1,GFRA3,ZNF367,,NASP,SLC10A6,PKLR,SAMD9L,FSTL1,AP1G1,IFT122,ARNT,TMF1,CCZ1,,GFRA3,EPB41L4A,BCL10,TMED3
,NFKBIE,LPIN3,AXIN2,ANKRD6,SMAD4,,DYNC1LI1,MPRIP,LRRFIP1,WRAP53,,SDC4,,ZNF514,,MAPKBP1,ABHD13,EIF2A,ZDHHC5,,ZNF787,OSMR,,SPON2,CHST7,,SHFL,,SAP18,MRPL47,CCDC82,IQSEC1,CAPN13,TET2,SDS,CDK5,,STX11,LGI4,APP,,NAT2,DCDC2,HDX,,CTNNBL1,SNCA,C1orf131,MIEF2,ARPC2,SLFN5,TKT,POGZ,ENSG00000144785,MRM2,,TRIM41,REEP5,CCN1,CIAO2B
,PHIP,RBM38,LDLRAD4,CEP162,TNFRSF11A,,POMGNT2,DSTYK,EMC3,MINK1,,NCOA3,,SNRNP200,,NDUFAF1,GRTP1,DCAF1,MED19,,CARM1,PIK3R1,,CHCHD6,NDUFB11,,ZNF426,,ADGRL3,GALNT5,RPS3,RPL32,MEMO1,PPIP5K1,MSI1,FASTK,,RAB11FIP5,DDAH1,DOP1B,,MIDEAS,TRIM7,NDUFB6,,RBM38,CISD2,GALNT2,NR2C2,CCT3,BMERB1,PRKCD,GABPB2,IGSF11,SMU1,,TNFRSF21,ITFG1,PTPRF,HSP90B1
,PNRC1,OSER1,GSTM4,NT5E,ZCCHC2,,GOLGA4,SLC41A1,CNOT1,PIK3R5,,NCOA5,,EXOC6B,,KIF23,FITM1,VWA5B2,NPTN,,SLC47A1,SLC30A5,,CTBP1,ZNF41,,PNCK,,KIAA1328,TANK,AASDHPPT,SLC25A26,DUSP19,ZBTB5,P2RX4,TMUB1,,USP15,SREK1,SAE1,,FAM161B,MMUT,NOL6,,PPP1R3D,ANK2,SCCPDH,GPR4,STK36,MARF1,TASOR,TAF1A,BOC,CLTA,,RNF44,SEC14L1,LMO4,COG1
,PM20D2,SERINC3,TCTN2,EPHA7,GRB7,,STAC,TMCC2,GOT2,ARHGDIA,,VAPB,,DQX1,,HAUS2,TMX1,SLC26A1,RAB11FIP1,,PSMB6,COMMD10,,PSKH1,ZMYM3,,MPP1,,MIA2,BLK,SLX4IP,UBA3,NUP35,LCMT2,BICDL1,GEM,,GNS,HS2ST1,LMTK3,,KCNMA1,NFKBIE,VCP,,PATJ,SPATA5,MAP3K21,HASPIN,CWC22,SAAL1,ARHGEF3,SMYD2,SRPRB,PHF24,,MMUT,RHBDF2,SLC44A3,PLEKHA7
,RARS2,PPP1R3D,PPIP5K1,ORC3,FKBP10,,IQSEC1,SPART,CLYBL,TMC6,,PLCG1,,THNSL2,,PARP6,DCAF5,ATP10D,UTP14A,,ZNF473,ATG12,,ABR,NONO,,NOL11,,HNMT,SKIL,LAMTOR1,ARL6IP5,WDCP,TNIP2,DMTF1,FAM219A,,KLHL36,MSI2,ADAMTS10,,DPY19L4,RSPO3,MELK,,FBXO44,CCNA2,CEP170,CSTF2T,AZI2,PPIB,SLBP,TP53BP2,TMEM108,DNAI1,,TPBG,ARHGEF6,CTTNBP2NL,ZNF606
,RSPO3,AP3B1,STX18,LCA5,SLC39A3,,IL17RD,EPSTI1,RAP2A,SLC16A3,,ARFGEF2,,ZC3H8,,TUBGCP4,RAB15,ENOPH1,BAG4,,RPS11,ARHGAP26,,LYPD5,OGT,,CASZ1,,RGS18,EPRS1,FADS1,TMF1,H3-3A,RNF181,CCDC146,PSIP1,,MPHOSPH6,HS3ST3A1,RNPEPL1,,NDUFAF6,ABRACL,OTUD1,,CPLANE2,METTL14,ACP1,DNAJC28,ANKZF1,CIAO2A,S100P,ATP8B2,EIF2A,CNTFR,,PM20D2,MAP7D3,PSMA5,ZNF592
,SLC18B1,PATJ,GFM1,LMO2,MVB12A,,UBA3,POSTN,ABCC4,CSNK1D,,RAB22A,,FAHD2B,,TMEM62,WDR89,PYURF,NTAQ1,,CTU1,FBXO38,,GNE,ZNF711,,HABP4,,PRSS23,ZNG1B,INCENP,ENSG00000144785,NOSTRIN,ZNF608,HILPDA,CCDC171,,KIAA0513,PPP2R5E,CAPN10,,SCAF4,SHPRH,HECTD2,,DCTN4,SETD7,SDE2,CD151,FBLN2,FAM111A,ERMAP,ADAM15,TRPC1,KIAA1549,,RARS2,ASH2L,C1orf162,AP1G1
,TIAM2,CPLANE2,TMEM150A,PHF21A,SH3GL1,,ARL6IP5,TPT1,EFNB2,ANAPC11,,PTGIS,,AFF3,,ZNF280D,STON2,TBCK,ATAD2,,NOSIP,TNIP1,,DFFA,DIAPH2,,SLC35D2,,MTMR12,BIN1,CPSF7,LIMD1,PDLIM5,FEM1B,TES,UBAP1,,DYNC1LI2,IMPACT,MYO1F,,SFXN2,TIAM2,FBXO33,,MTUS2,NAF1,FBXO28,HNRNPA0,STT3B,KIF7,AIMP1,RAB13,NCEH1,TRIM24,,RSPO3,TTI2,CD53,SLFN5
,TMEM181,CASP9,MAT2A,EHF,DPP9,,TMF1,GPALPP1,HROB,RPTOR,,STAU1,,POLR2D,,FNBP1L,GPR65,CISD2,ZNF689,,RCN3,G3BP1,,TMEM234,RADX,,UBA1,,TIMM8B,UGGT1,B3GAT3,COL8A1,CDC42EP3,COMMD8,MDFIC,SYK,,FBXL8,SDHAF4,NLRP12,,PCDH1,TMEM181,INPPL1,,ZMYM5,MARCHF1,GUK1,PCDHB9,CHCHD4,LDHD,SGMS2,TPM3,FAM86B2,CALD1,,ARHGAP18,RPS4Y1,GPR161,MARF1
,ZMYM4,DCTN4,LGALS9,CAPRIN1,IFITM3,,ENSG00000144785,RFC3,IRF1,FOXK2,,SNAI1,,PHOSPHO2,,KYAT3,PTGR2,SPATA5,FBRS,,RERE,N4BP3,,ZBTB8A,RBMX,,SYNE1,,IL18,STAM,ESAM,PHLDB2,CCNYL1,UQCRFS1,MTO1,MAMDC2,,CCDC102A,CHST9,ZNF787,,SH3RF2,WTAP,MICU2,,POMP,CBR4,CDC42BPA,UBE2N,SUCLG1,DCTN5,EMCN,SNAPIN,LPP,NUDT10,,TAAR1,KLF16,ALDH9A1,SAAL1
,VIP,ATP8A2,SIGLEC7,DNAJC14,PGGHG,,ABHD10,STARD13,RNF113A,CBX8,,STX16,,FAM171B,,GTF2B,JDP2,METTL14,MFSD14A,,FHAD1,NHP2,,ATAD3B,MCPH1,,RBM39,,PTS,YME1L1,MRPL49,RABL3,GNPDA2,HNRNPH1,NT5E,HGSNAT,,AGT,TBCEL,CARM1,,PPP2R2B,ARMT1,LRR1,,RNF17,NDUFS6,PARP1,ARL6IP6,NUAK2,CLPX,CCDC51,SLC27A3,DCAF1,CHST3,,SLC18B1,PGAP6,TIPRL,YPEL4
,ARMT1,MTUS2,FEM1B,GDF11,HUNK,,TAGLN3,BEX2,NDUFA1,SECTM1,,RNF114,,METTL21A,,RABGGTB,AK7,NAF1,MPV17L,,RPL11,BOD1,,SSU72,MFHAS1,,GGT7,,PIP4K2A,DNAJC1,VPS51,ATG3,HELQ,IRS1,EPHA7,C9orf64,,PCNX2,OTULIN,PSMB6,,RPL30,SLC22A3,ZNF22,,SCO1,MYO10,PYCR2,BET1L,EIF5A2,ZBTB39,APEH,UBAP2L,ILDR1,P4HA1,,TMEM181,DOHH,TMCO1,CIAO2A
