adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,cartilage,caudate,cerebellum,cerebral cortex,cervix,choroid plexus,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
PAFAH1B1,VPS50,FKBP4,MCUB,KDM1A,UPF1,,KDM1A,RBM6,M6PR,PDK4,,ALS2,,SLC25A5,CD2,RECQL,NDUFAB1,VPS50,LIG3,,DHX33,ST7,,VPS50,PDK4,TRH,PLXND1,,AK2,TFPI,NDUFAF7,RECQL,MEOX1,DVL2,SARM1,MEOX1,,ARHGAP33,NDUFAB1,KDM1A,TFAP2A,LIG3,VPS50,SPPL2B,,NDUFAF7,AK2,CDC27,GTF2IRD1,CDC27,RPAP3,MCUB,SLC25A13,DHX33,DBNDD1,PSMB11,AK2,ALS2,PLXND1,LIG3
RPUSD1,ARHGAP33,CAMKK1,RPAP3,RBM6,DHX33,,RBM6,RECQL,CYP26B1,SLC25A13,,CASP10,,DHX33,MFAP2,VPS50,CDC27,ARHGAP33,ATOSB,,MEOX1,UPF1,,ARHGAP33,CDC27,OTP,FKBP4,,KDM1A,NDUFAF7,CD38,VPS50,LIG3,UPF1,AK2,RPAP3,,NDUFAB1,PDK4,VPS50,MGARP,RPAP3,CDC27,ATOSB,,PLXND1,KDM1A,HCCS,CCDC124,MEOX1,CREBBP,DHX33,CDC27,MEOX1,ALS2,UHRF1,KDM1A,CASP10,AK2,RPAP3
TSR3,SLC25A13,VPS50,KMT2E,RECQL,MEOX1,,CAMKK1,VPS50,DBNDD1,UPF1,,CFLAR,,MEOX1,ABCG2,PDK4,UPF1,NDUFAB1,COPZ2,,ATOSB,SLC25A5,,SLC22A16,UPF1,PMCH,RECQL,,RECQL,RBM5,KDM1A,ARHGAP33,RPAP3,LIG3,FKBP4,ATOSB,,PDK4,UPF1,ARHGAP33,SPTBN5,SPPL2B,UPF1,TSPOAP1,,AK2,RECQL,UPF1,BLTP2,LIG3,ZNF195,MEOX1,HCCS,LIG3,CFLAR,,RECQL,CFLAR,KDM1A,TSPOAP1
CDK11A,ST7,NDUFAB1,RHBDD2,VPS50,ATOSB,,RECQL,NDUFAB1,ALS2,SLC25A5,,NDUFAF7,,LIG3,CSTA,ST7,HOXA11,CDC27,TSPOAP1,,WDR54,MCUB,,SLC25A13,SLC25A5,QRFPR,VPS50,,VPS50,SARM1,CAMKK1,NDUFAB1,TSPOAP1,RPAP3,KDM1A,CREBBP,,ST7,DHX33,SLC22A16,RLBP1,ATOSB,MEOX1,ZNF195,,FKBP4,VPS50,SLC25A5,RPUSD1,RPAP3,LAMP2,LIG3,UPF1,ACSM3,TFPI,,VPS50,TFPI,RECQL,ZNF195
CYTH3,CDC27,PDK4,ZNF195,HSPB6,COPZ2,,VPS50,PDK4,CFLAR,DHX33,,SARM1,,ACSM3,PAEP,UPF1,MEOX1,UPF1,ZNF195,,IBTK,DHX33,,ST7,LIG3,RTP5,SLC22A16,,ARHGAP33,AK2,RECQL,SLC22A16,ZNF195,CIAPIN1,RBM6,TSPOAP1,,CDC27,MEOX1,SLC25A13,POU4F1,CREBBP,LIG3,PDK2,,KDM1A,HSPB6,DHX33,BAIAP3,ATOSB,REX1BD,RPAP3,MCUB,CIAPIN1,SARM1,,ARHGAP33,NDUFAF7,VPS50,LAMP2
MGST1,HCCS,SLC22A16,ITGAL,ARHGAP33,MSL3,,NDUFAB1,SLC22A16,TFPI,MEOX1,,PLXND1,,CIAPIN1,PLAU,HOXA11,LIG3,DHX33,PDK2,,ZNF195,MEOX1,,MEOX1,RPAP3,HMX2,ST7,,NDUFAB1,KDM1A,VPS50,SLC25A13,PDK2,PRKAR2B,VPS50,WDR54,,CALCR,LIG3,ST7,GPR61,ZNF195,RPAP3,OSBPL7,,CAMKK1,ARHGAP33,MEOX1,TSR3,CREBBP,TMEM98,ACSM3,DHX33,SPPL2B,PLXND1,,NDUFAB1,AK2,NDUFAB1,TMEM98
CRY1,UPF1,SLC25A13,ZFX,NDUFAB1,CREBBP,,CDC27,SLC25A13,NDUFAF7,RPAP3,,FKBP4,,SPPL2B,SOX9,MEOX1,COPZ2,MEOX1,LAMP2,,PDK2,RPAP3,,LIG3,PRKAR2B,,CDC27,,SLC22A16,VPS50,ARHGAP33,ST7,ZFX,CREBBP,PDK4,CROT,,HCCS,RPAP3,HCCS,CFAP161,LAMP2,ATOSB,TMEM98,,RECQL,PDK4,LIG3,PIGQ,ZNF195,MAP3K14,ATOSB,MEOX1,ATOSB,AK2,,PDK4,CD38,CDC27,MAP3K14
NFIX,SLC25A5,ST7,LAMP2,SLC25A13,TSPOAP1,,DVL2,CDC27,RBM5,SPPL2B,,KDM1A,,ATOSB,CD68,LIG3,WDR54,RPAP3,REX1BD,,LAMP2,ACSM3,,RPAP3,TSPOAP1,,SLC4A1,,HCCS,ARHGAP33,PDK4,UPF1,LAMP2,ZNF195,SLC22A16,IBTK,,UPF1,ACSM3,UPF1,RPGR,REX1BD,COPZ2,MAP3K14,,VPS50,ST7,ACSM3,NADK,LAMP2,ALDH3B1,MSL3,LIG3,COPZ2,KDM1A,,ST7,FKBP4,HCCS,ZNF263
ST3GAL1,MEOX1,CDC27,ITGA2B,ST7,WDR54,,UPF1,DVL2,PLXND1,CREBBP,,RBM6,,COPZ2,APOE,RPAP3,CROT,ATOSB,MAP3K14,,TMEM98,CIAPIN1,,ACSM3,GCFC2,,CALCR,,SLC25A5,PDK4,SLC22A16,SLC25A5,REX1BD,PDK2,SLC25A13,ZNF195,,DHX33,ATOSB,DHX33,RDH13,TMEM98,CREBBP,TMEM132A,,HSPB6,CDC27,CIAPIN1,CYTH3,REX1BD,TTC22,CREBBP,CIAPIN1,CREBBP,RBM6,,UPF1,KDM1A,UPF1,CX3CL1
UBE3C,LIG3,HCCS,REX1BD,CDC27,CROT,,LIG3,UPF1,FKBP4,TSPOAP1,,RECQL,,MSL3,PDGFRA,ATOSB,ZNF195,PRKAR2B,AP2B1,,MAP3K14,ATOSB,,SPPL2B,IBTK,,HCCS,,RPAP3,CDC27,CDC27,MCUB,MAP3K14,LAMP2,ST7,PDK2,,MEOX1,MSL3,MEOX1,SLC1A7,MAP3K14,GCFC2,ZNF263,,ARHGAP33,HCCS,SPPL2B,MPND,TMEM98,FARP2,TSPOAP1,SPPL2B,TSPOAP1,RECQL,,DHX33,RBM6,SLC25A5,BAIAP2L1
BAZ1B,RPAP3,UPF1,TMEM98,UPF1,IBTK,,RPAP3,DHX33,KDM1A,GCFC2,,VPS50,,CREBBP,PSAT1,WDR54,ITGA3,CREBBP,ZNF263,,AP2B1,COPZ2,,ATOSB,ZNF195,,DVL2,,SPPL2B,HCCS,HCCS,MEOX1,ZNF263,MAP3K14,UPF1,ITGA3,,RPAP3,CREBBP,THSD7A,EGFLAM,TMEM132A,WDR54,CX3CL1,,CDC27,UPF1,COPZ2,CRY1,MAP3K14,GGCT,ZNF195,ATOSB,CROT,VPS50,,MEOX1,CAMKK1,DHX33,AGK
NISCH,ATOSB,SLC25A5,TNFRSF12A,SLC25A5,ZNF195,,ATOSB,RPAP3,RBM6,IBTK,,HSPB6,,TSPOAP1,KRT7,CROT,ZFX,TSPOAP1,CX3CL1,,CX3CL1,TSPOAP1,,CREBBP,PDK2,,UPF1,,ATOSB,UPF1,UPF1,SPPL2B,CX3CL1,ZNF263,SLC25A5,LAMP2,,ATOSB,TSPOAP1,ACSM3,PI16,CX3CL1,CROT,KDM7A,,UPF1,SKAP2,TSPOAP1,REV3L,AGK,COX10,LAMP2,COPZ2,IBTK,ARHGAP33,,RPAP3,RECQL,MEOX1,TTC22
MRC2,COPZ2,MCUB,MAP3K9,MCUB,ITGA3,,PRKAR2B,SPPL2B,CAMKK1,ZNF195,,ARHGAP33,,IBTK,DYSF,ZNF195,LAMP2,WDR54,BAIAP2L1,,TNFRSF12A,WDR54,,TSPOAP1,LAMP2,,SLC25A5,,COPZ2,SKAP2,SKAP2,ATOSB,RALA,CX3CL1,MCUB,MAP3K14,,MSL3,ZNF195,CIAPIN1,CRABP1,RALA,RHBDD2,AGK,,SKAP2,MEOX1,IBTK,METTL13,ALDH3B1,GTF2IRD1,TMEM98,CREBBP,ZNF195,NDUFAB1,,ACSM3,VPS50,RPAP3,PHTF2
TSPAN9,CREBBP,MEOX1,AGK,DHX33,LAMP2,,CREBBP,PRKAR2B,RECQL,PDK2,,NDUFAB1,,PDK2,IL33,PDK2,TMEM98,IBTK,TTC22,,MAP3K9,CROT,,PDK2,TAC1,,MCUB,,CREBBP,SLC25A5,MCUB,COPZ2,BAIAP2L1,MAP3K9,DHX33,AP2B1,,TSPOAP1,PDK2,ATOSB,KCNV2,BAIAP2L1,ZNF195,FARP2,,SLC25A5,ZNF195,ZNF195,UQCRC1,TTC22,SCIN,CX3CL1,TSPOAP1,ZFX,SLC25A13,,ATOSB,NDUFAB1,CIAPIN1,COX10
APBA3,TSPOAP1,LIG3,ALDH3B1,MEOX1,TMEM98,,RHBDD2,TSPOAP1,VPS50,LAMP2,,SLC22A16,,ZFX,ATIC,ZFX,CX3CL1,ZNF195,PHTF2,,RALA,IBTK,,ITGA3,ZNF263,,DHX33,,GCFC2,MEOX1,DHX33,MSL3,AGK,RALA,RPAP3,CX3CL1,,IBTK,ZFX,COPZ2,VAT1L,TTC22,PDK2,GGCT,,MEOX1,ITGA3,LAMP2,STARD3NL,FARP2,PNPLA4,TNFRSF12A,CROT,OSBPL7,UPF1,,WDR54,PDK4,ATOSB,GTF2IRD1
ABHD5,CROT,RPAP3,PHTF2,CREBBP,MAP3K14,,ZNF195,CROT,ARHGAP33,TMEM98,,ST7,,LAMP2,IDH1,LAMP2,TNFRSF12A,PDK2,GGCT,,BAIAP2L1,ZNF195,,TMEM98,CX3CL1,,MEOX1,,CROT,LIG3,RPAP3,TSPOAP1,FARP2,AGK,ACSM3,RALA,,PDK2,TMEM98,PRKAR2B,IQCB1,PHTF2,ZFX,COX10,,RPAP3,ZFX,REX1BD,CD9,GGCT,MARK4,KDM7A,IBTK,MAP3K14,SLC25A5,,CROT,SLC22A16,TSPOAP1,PAF1
AKAP8L,ZNF195,ACSM3,FARP2,TSPOAP1,ZNF263,,PDK2,RHBDD2,NDUFAB1,MAP3K14,,CDC27,,REX1BD,FBLN5,MAP3K14,BAIAP2L1,ITGA3,COX10,,TTC22,MAP3K14,,CX3CL1,TNFRSF12A,,LIG3,,IBTK,RPAP3,ACSM3,WDR54,IFRD1,TTC22,COPZ2,BAIAP2L1,,ITGA3,MAP3K14,WDR54,SIX6,GGCT,LAMP2,GTF2IRD1,,SPPL2B,LAMP2,OSBPL7,NISCH,IFRD1,CCDC124,AGK,ZNF195,AP2B1,HOXA11,,RHBDD2,CDC27,GCFC2,ELAC2
RNF216,ITGA3,CIAPIN1,GGCT,GCFC2,CX3CL1,,LAMP2,IBTK,SLC25A13,AP2B1,,HCCS,,OSBPL7,CRABP2,CX3CL1,KDM7A,ZFX,PNPLA4,,PHTF2,ZNF263,,RALA,MAP3K9,,RPAP3,,ITGA3,ACSM3,SPPL2B,IBTK,COX10,IFRD1,CREBBP,ALDH3B1,,ZFX,CX3CL1,CROT,ARMS2,COX10,OSBPL7,VPS41,,ATOSB,REX1BD,TMEM98,STAB1,COX10,CEACAM21,ALDH3B1,ZFX,ZNF263,DHX33,,IBTK,HCCS,WDR54,MARK4
